,Planet_Identifier,Planetary_Mass_Earth,Eccentricity,Semi_Major_Axis_AU,Host_Star_Radius_Solar,Host_Star_Temperature_Kelvin,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,Is_In_Habitable_Zone
166,HD 12661 b,731.1844881283279,0.377,0.83,1.12,5742.0,1.204971634944,1.1825797055496325,0.3536576462301927,1.009423011538583,1.8458520396851743,False
167,HD 12661 c,499.11288972238043,0.031,2.56,1.12,5742.0,1.204971634944,1.1825797055496325,0.3536576462301927,1.009423011538583,1.8458520396851743,False
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,HD 128311 b,581.7685275108001,0.3,,0.73,4965.0,0.28616120591827454,1.0861755723445474,0.3083194540340265,0.513281206290884,0.9633961679715763,
171,HD 128311 c,1017.3001573959345,0.12,,0.73,4965.0,0.28616120591827454,1.0861755723445474,0.3083194540340265,0.513281206290884,0.9633961679715763,
172,WASP-49 b,120.16858109239477,0.0,0.0379,0.976,5600.0,0.8278273470600794,1.16280585743616,0.3449652806948,0.8437548440513913,1.549109762488861,False
173,Kepler-44 b,317.90629918622955,,0.0446,1.35,5800.0,1.8225000000000002,1.1908727604825602,0.35723485352680007,1.2370894059224016,2.2586911823836178,
174,HD 72892 b,1732.589330564951,0.423,0.228,1.22,5688.0,1.376721320013641,1.174967270605531,0.35033950217731646,1.082455706679332,1.9823414625042193,False
175,,,,,,,,,,,,
176,,,,,,,,,,,,
177,,,,,,,,,,,,
178,WASP-138 b,387.8456850072,,0.0494,1.36,6272.0,2.529239997784473,1.2615133566332561,0.3863588105999725,1.4159538349009748,2.5585835915322366,
179,,,,,,,,,,,,
180,,,,,,,,,,,,
181,,,,,,,,,,,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,,,,,,,,,,
187,,,,,,,,,,,,
188,,,,,,,,,,,,
189,CVSO 30 b,1971.0190549546232,,0.00838,1.39,3740.0,0.33404427656731894,1.00191009232896,0.25467264740479995,0.5774144417819685,1.1452778622086512,
190,CVSO 30 c,1494.159606175279,,662.0,1.39,3740.0,0.33404427656731894,1.00191009232896,0.25467264740479995,0.5774144417819685,1.1452778622086512,
191,HD 175167 b,2479.6691336525905,0.54,2.4,,5940.0,,1.21132922802176,0.3659036044288,,,
192,,,,,,,,,,,,
193,,,,,,,,,,,,
194,,,,,,,,,,,,
195,Kepler-94 b,10.840286895951241,,,0.76,4781.0,0.26667983951072505,1.068176331759936,0.29867945794603146,0.4996588880425345,0.9449142865226399,
196,Kepler-94 c,3126.118876795821,,,0.76,4781.0,0.26667983951072505,1.068176331759936,0.29867945794603146,0.4996588880425345,0.9449142865226399,
197,TYC 3667-1280-1 b,1716.6940156056396,0.036,0.21,6.26,5130.0,23.983146074115556,1.1040013687249999,0.31738463851562493,4.660883742879071,8.692808749513665,False
198,,,,,,,,,,,,
199,HD 202206 b,5531.569605840394,0.435,0.83,1.02,5750.0,1.0049853895256093,1.1837165880579599,0.354150314094425,0.9214165470948886,1.6845583485339395,False
200,HD 202206 c,775.6913700144,0.267,2.55,1.02,5750.0,1.0049853895256093,1.1837165880579599,0.354150314094425,0.9214165470948886,1.6845583485339395,False
201,,,,,,,,,,,,
202,,,,,,,,,,,,
203,,,,,,,,,,,,
204,,,,,,,,,,,,
205,,,,,,,,,,,,
206,,,,,,,,,,,,
207,HD 131664 b,27085.616690666757,0.638,3.17,1.16,5886.0,1.4272006514150006,1.2033713332674334,0.36255645947574144,1.0890371297067258,1.9840595090719104,False
208,,,,,,,,,,,,
209,wasp-92 b,255.9145708449148,0.0,0.0348,1.341,6280.0,2.4716339751074456,1.2627375,0.38684490625,1.3990574200948418,2.5276889905236106,False
210,,,,,,,,,,,,
211,,,,,,,,,,,,
212,,,,,,,,,,,,
213,,,,,,,,,,,,
214,,,,,,,,,,,,
215,,,,,,,,,,,,
216,,,,,,,,,,,,
217,,,,,,,,,,,,
218,,,,,,,,,,,,
219,CoRoT-21 b,718.4682361608787,0.0,0.0417,1.945,6200.0,4.939625171643235,1.2505101092313597,0.38196344607079996,1.9874828694024187,3.596135904011709,False
220,,,,,,,,,,,,
221,,,,,,,,,,,,
222,,,,,,,,,,,,
223,HD 9174 b,352.8759920967148,0.12,2.2,1.67,5577.0,2.3840949400997506,1.1596802514753226,0.34356864878125887,1.4338134244189549,2.6342379953262243,True
224,,,,,,,,,,,,
225,,,,,,,,,,,,
226,HD 66428 b,1015.3927196008171,0.44,3.471,0.98,5752.0,0.9289999414718382,1.184001165951953,0.35427352109182525,0.8857920502457407,1.6193416881031724,False
227,,,,,,,,,,,,
228,,,,,,,,,,,,
229,,,,,,,,,,,,
230,Gliese 3293 b,24.160878738153446,0.09,0.1434,0.404,3466.0,0.020814452390726004,0.9921106485537297,0.24593562358331905,0.1448446435092838,0.2909187912825408,False
231,Gliese 3293 d,22.253440943036072,0.37,0.3644,0.404,3466.0,0.020814452390726004,0.9921106485537297,0.24593562358331905,0.1448446435092838,0.2909187912825408,False
232,Gliese 3293 c,8.583470078028197,0.13,0.1939,0.404,3466.0,0.020814452390726004,0.9921106485537297,0.24593562358331905,0.1448446435092838,0.2909187912825408,True
233,,,,,,,,,,,,
234,Kepler-91 b,209.8181574629115,0.0519,0.0726,6.3,4550.0,15.031928843577106,1.0484237664675597,0.287340613842425,3.786508420822993,7.232839833539643,False
235,,,,,,,,,,,,
236,HD 27631 b,460.9641338200328,0.12,3.25,1.0,5737.0,0.9572545190866157,1.1818703230050047,0.35334986195940443,0.8999715876417138,1.6459295776167013,False
237,CHXR 73 b,3814.875590234755,,,,3840.0,,1.0060404713753597,0.25812620696679994,,,
238,,,,,,,,,,,,
